FishCode,FishDesc,Consigned,Sold,LowPrice,AvgPrice,HighPrice,MonthNum,YearNum,FishGroup
CADM,Cod | market,,5259,2.06,3.13,4.77,1,2023,Cod
HDDP,Haddock | snapper,,474,0.98,1.68,2.0,1,2023,Haddock
CADS,Cod | scrod,,72,1.21,1.78,2.73,1,2023,Cod
FADS,"Halibut, Atlantic | 10-50",,39,13.01,13.01,13.01,1,2023,Halibut
HDDL,Haddock | large,,12909,1.88,2.32,2.89,1,2023,Haddock
HWSJ,"Hake, white | sow",,3348,1.8,2.52,4.76,1,2023,Hake
HWSM,"Hake, white | medium",,351,1.16,1.43,2.71,1,2023,Hake
PADS,"Pollock, Atl | small",,4794,0.62,0.94,1.31,1,2023,Pollock
PADL,"Pollock, Atl | large",,9648,1.52,1.85,2.32,1,2023,Pollock
PADM,"Pollock, Atl | medium",,14255,1.13,1.47,1.62,1,2023,Pollock
CADL,Cod | large,,2427,2.67,3.83,5.06,1,2023,Cod
HDDS,Haddock | scrod,,28948,1.54,2.08,2.8,1,2023,Haddock
HWSL,"Hake, white | large",,4432,1.64,2.59,3.96,1,2023,Hake
POWX,Redfish | mixed,,618,0.5,0.76,1.22,1,2023,Redfish
HDDL,Haddock | large,,18478,1.54,2.01,2.82,2,2023,Haddock
HWSJ,"Hake, white | sow",,1753,1.24,2.48,4.07,2,2023,Hake
CADM,Cod | market,,3305,1.63,2.3,4.12,2,2023,Cod
HWSS,"Hake, white | small",,7,0.6,0.66,0.8,2,2023,Hake
POWX,Redfish | mixed,,492,0.58,0.67,1.01,2,2023,Redfish
PADL,"Pollock, Atl | large",,3346,1.77,2.41,3.57,2,2023,Pollock
HDDP,Haddock | snapper,,65,1.0,1.06,1.07,2,2023,Haddock
PADM,"Pollock, Atl | medium",,4169,1.29,2.13,3.25,2,2023,Pollock
PADS,"Pollock, Atl | small",,366,0.6,1.11,1.47,2,2023,Pollock
CADL,Cod | large,,1380,2.09,3.59,5.77,2,2023,Cod
HDDS,Haddock | scrod,,23443,1.34,1.65,2.27,2,2023,Haddock
HWSM,"Hake, white | medium",,136,1.06,1.47,2.25,2,2023,Hake
CADS,Cod | scrod,,6,0.9,1.02,1.13,2,2023,Cod
HWSL,"Hake, white | large",,4188,1.1,1.98,3.62,2,2023,Hake
HWSS,"Hake, white | small",,208,0.67,0.7,0.73,3,2023,Hake
POWX,Redfish | mixed,,1449,0.58,0.7,0.88,3,2023,Redfish
FADM,"Halibut, Atlantic | 50-85",,75,13.11,13.11,13.11,3,2023,Halibut
HWSJ,"Hake, white | sow",,5345,0.96,1.15,4.12,3,2023,Hake
HWSM,"Hake, white | medium",,2352,1.0,1.07,1.61,3,2023,Hake
HWSL,"Hake, white | large",,8733,0.97,1.36,2.71,3,2023,Hake
CADM,Cod | market,,16229,1.7,1.91,2.99,3,2023,Cod
PADL,"Pollock, Atl | large",,1400,1.31,2.99,3.82,3,2023,Pollock
CADS,Cod | scrod,,19,1.03,1.17,1.19,3,2023,Cod
FADS,"Halibut, Atlantic | 10-50",,106,12.31,13.06,13.66,3,2023,Halibut
HDDL,Haddock | large,,18158,1.47,1.95,2.25,3,2023,Haddock
HDDP,Haddock | snapper,,193,0.89,0.97,1.04,3,2023,Haddock
HDDS,Haddock | scrod,,29752,1.25,1.51,1.86,3,2023,Haddock
PADM,"Pollock, Atl | medium",,1762,1.38,2.57,3.87,3,2023,Pollock
CADL,Cod | large,,961,2.11,2.81,4.47,3,2023,Cod
PADS,"Pollock, Atl | small",,463,0.97,1.31,1.51,3,2023,Pollock
FYWS,Yellowtail | small,,17,0.8,0.85,0.92,3,2023,Yellowtail
CADL,Cod | large,,788,1.9,3.06,4.62,4,2023,Cod
HDDS,Haddock | scrod,,29835,1.36,1.54,2.39,4,2023,Haddock
HWSL,"Hake, white | large",,3919,1.0,1.41,1.89,4,2023,Hake
POWX,Redfish | mixed,,473,0.62,0.81,1.21,4,2023,Redfish
FADM,"Halibut, Atlantic | 50-85",,78,8.95,8.95,8.95,4,2023,Halibut
PADL,"Pollock, Atl | large",,2284,0.77,2.65,4.07,4,2023,Pollock
PADM,"Pollock, Atl | medium",,3801,1.44,3.02,4.17,4,2023,Pollock
PADS,"Pollock, Atl | small",,1189,0.96,1.9,2.34,4,2023,Pollock
HWSJ,"Hake, white | sow",,2776,1.19,1.38,2.01,4,2023,Hake
HWSM,"Hake, white | medium",,1807,0.82,1.04,1.25,4,2023,Hake
CADS,Cod | scrod,,351,0.99,1.14,1.4,4,2023,Cod
FADS,"Halibut, Atlantic | 10-50",,33,13.11,13.11,13.11,4,2023,Halibut
HWSS,"Hake, white | small",,67,0.5,0.7,0.8,4,2023,Hake
FYWL,Yellowtail | large,,1,0.94,0.94,0.94,4,2023,Yellowtail
HDDL,Haddock | large,,11298,1.69,2.17,2.73,4,2023,Haddock
CADM,Cod | market,,5202,1.5,1.99,2.55,4,2023,Cod
HDDP,Haddock | snapper,,399,0.78,0.99,1.09,4,2023,Haddock
HWSL,"Hake, white | large",,4708,1.35,2.15,2.98,5,2023,Hake
CADS,Cod | scrod,,6,1.55,1.62,1.69,5,2023,Cod
FADS,"Halibut, Atlantic | 10-50",,61,9.0,9.31,9.61,5,2023,Halibut
FYWL,Yellowtail | large,,1,0.98,0.98,0.98,5,2023,Yellowtail
CADL,Cod | large,,220,2.84,3.16,4.57,5,2023,Cod
FADL,"Halibut, Atlantic | 85-125",,117,6.55,6.55,6.55,5,2023,Halibut
HDDP,Haddock | snapper,,119,1.11,1.11,1.12,5,2023,Haddock
HDDS,Haddock | scrod,,3129,2.31,2.51,4.27,5,2023,Haddock
POWX,Redfish | mixed,,143,0.7,0.94,1.13,5,2023,Redfish
HWSM,"Hake, white | medium",,1587,1.12,1.22,2.58,5,2023,Hake
PADM,"Pollock, Atl | medium",,1086,1.22,1.87,2.78,5,2023,Pollock
PADS,"Pollock, Atl | small",,861,0.91,0.98,1.63,5,2023,Pollock
FADM,"Halibut, Atlantic | 50-85",,84,11.11,11.11,11.11,5,2023,Halibut
HWSS,"Hake, white | small",,56,0.53,0.78,1.0,5,2023,Hake
PADL,"Pollock, Atl | large",,262,2.67,2.84,2.93,5,2023,Pollock
CADM,Cod | market,,1140,1.95,2.81,5.47,5,2023,Cod
HDDL,Haddock | large,,2245,2.59,2.99,4.67,5,2023,Haddock
HWSJ,"Hake, white | sow",,1909,1.37,2.44,4.32,5,2023,Hake
FYWL,Yellowtail | large,,318,1.06,1.12,1.29,6,2023,Yellowtail
PADS,"Pollock, Atl | small",,3113,0.89,1.17,2.0,6,2023,Pollock
CADL,Cod | large,,1990,2.36,3.19,4.57,6,2023,Cod
HDDS,Haddock | scrod,,22329,1.62,2.04,2.81,6,2023,Haddock
HWSL,"Hake, white | large",,8687,1.5,1.98,2.67,6,2023,Hake
CADS,Cod | scrod,,31,1.49,1.68,1.7,6,2023,Cod
FADS,"Halibut, Atlantic | 10-50",,236,8.96,10.59,12.06,6,2023,Halibut
HDDL,Haddock | large,,6798,2.1,2.47,3.15,6,2023,Haddock
HDDP,Haddock | snapper,,588,0.9,1.17,1.76,6,2023,Haddock
PADM,"Pollock, Atl | medium",,3930,1.18,2.17,2.96,6,2023,Pollock
CADM,Cod | market,,4542,2.19,2.56,2.75,6,2023,Cod
PADL,"Pollock, Atl | large",,5923,1.6,2.79,3.57,6,2023,Pollock
HWSJ,"Hake, white | sow",,1885,2.09,3.35,4.42,6,2023,Hake
FADM,"Halibut, Atlantic | 50-85",,345,7.5,8.65,10.01,6,2023,Halibut
HWSM,"Hake, white | medium",,1510,0.99,1.32,1.75,6,2023,Hake
FYWS,Yellowtail | small,,200,0.41,0.51,0.62,6,2023,Yellowtail
HWSS,"Hake, white | small",,86,0.7,0.96,1.19,6,2023,Hake
POWX,Redfish | mixed,,652,0.5,1.25,1.67,6,2023,Redfish
CADL,Cod | large,,530,2.51,4.19,5.27,7,2023,Cod
CADM,Cod | market,,1069,2.51,3.21,5.07,7,2023,Cod
HDDL,Haddock | large,,13368,2.25,2.88,4.97,7,2023,Haddock
HDDP,Haddock | snapper,,523,1.39,1.58,1.91,7,2023,Haddock
PADM,"Pollock, Atl | medium",,3137,1.23,3.36,4.52,7,2023,Pollock
FYWL,Yellowtail | large,,91,0.52,0.52,0.52,7,2023,Yellowtail
CADS,Cod | scrod,,15,1.11,1.62,2.21,7,2023,Cod
FADS,"Halibut, Atlantic | 10-50",,297,10.06,10.98,12.06,7,2023,Halibut
HWSS,"Hake, white | small",,219,0.7,0.82,1.1,7,2023,Hake
HWSJ,"Hake, white | sow",,1918,1.66,3.69,5.52,7,2023,Hake
HWSM,"Hake, white | medium",,2131,1.14,1.65,2.74,7,2023,Hake
PADS,"Pollock, Atl | small",,1752,0.96,2.01,2.85,7,2023,Pollock
FADM,"Halibut, Atlantic | 50-85",,256,8.56,10.62,12.21,7,2023,Halibut
PADL,"Pollock, Atl | large",,1782,1.6,3.54,4.77,7,2023,Pollock
HDDS,Haddock | scrod,,14816,2.02,2.63,3.92,7,2023,Haddock
HWSL,"Hake, white | large",,20257,1.28,2.39,3.47,7,2023,Hake
POWX,Redfish | mixed,,2554,0.6,1.29,2.12,7,2023,Redfish
HDDL,Haddock | large,,11092,1.89,2.46,3.82,8,2023,Haddock
HWSJ,"Hake, white | sow",,4086,2.41,3.55,6.12,8,2023,Hake
CADM,Cod | market,,1196,2.08,3.5,5.72,8,2023,Cod
CADS,Cod | scrod,,27,1.69,1.7,1.76,8,2023,Cod
FADS,"Halibut, Atlantic | 10-50",,288,8.41,11.06,14.71,8,2023,Halibut
HWSS,"Hake, white | small",,801,0.4,1.23,1.68,8,2023,Hake
PADL,"Pollock, Atl | large",,1628,1.84,3.39,4.87,8,2023,Pollock
FADM,"Halibut, Atlantic | 50-85",,143,13.26,13.61,14.01,8,2023,Halibut
HWSM,"Hake, white | medium",,5490,0.95,1.89,2.49,8,2023,Hake
PADM,"Pollock, Atl | medium",,2917,1.89,3.03,4.52,8,2023,Pollock
CADL,Cod | large,,745,3.19,4.26,5.67,8,2023,Cod
HDDP,Haddock | snapper,,534,0.79,1.39,1.76,8,2023,Haddock
HDDS,Haddock | scrod,,20984,1.53,2.23,2.97,8,2023,Haddock
POWX,Redfish | mixed,,3662,0.46,0.8,1.66,8,2023,Redfish
FADL,"Halibut, Atlantic | 85-125",,121,7.61,7.61,7.61,8,2023,Halibut
FYWL,Yellowtail | large,,1,0.9,0.9,0.9,8,2023,Yellowtail
HWSL,"Hake, white | large",,25885,1.75,2.42,3.72,8,2023,Hake
PADS,"Pollock, Atl | small",,1840,1.0,1.85,2.23,8,2023,Pollock
PADL,"Pollock, Atl | large",,2472,1.94,3.34,4.02,9,2023,Pollock
FADM,"Halibut, Atlantic | 50-85",,122,6.57,8.18,10.01,9,2023,Halibut
HWSS,"Hake, white | small",,953,0.8,1.44,1.86,9,2023,Hake
POWX,Redfish | mixed,,2303,0.48,0.65,1.01,9,2023,Redfish
HWSJ,"Hake, white | sow",,3521,1.91,3.03,4.72,9,2023,Hake
CADM,Cod | market,,1396,2.01,3.19,5.32,9,2023,Cod
CADS,Cod | scrod,,78,1.49,1.64,1.82,9,2023,Cod
FADS,"Halibut, Atlantic | 10-50",,239,7.0,9.07,10.16,9,2023,Halibut
HDDL,Haddock | large,,7849,1.78,2.45,3.12,9,2023,Haddock
PADM,"Pollock, Atl | medium",,2006,2.25,3.13,3.67,9,2023,Pollock
CADL,Cod | large,,692,2.3,4.5,5.17,9,2023,Cod
FADJ,"Halibut, Atlantic | >125",,134,5.96,5.96,5.96,9,2023,Halibut
HDDS,Haddock | scrod,,18825,1.6,1.99,3.09,9,2023,Haddock
HWSL,"Hake, white | large",,25329,1.5,2.44,3.21,9,2023,Hake
HWSM,"Hake, white | medium",,3968,1.53,1.97,2.34,9,2023,Hake
PADS,"Pollock, Atl | small",,1029,1.01,2.04,2.31,9,2023,Pollock
FADL,"Halibut, Atlantic | 85-125",,103,7.51,7.51,7.51,9,2023,Halibut
HDDP,Haddock | snapper,,357,0.9,1.13,1.33,9,2023,Haddock
POWX,Redfish | mixed,,934,0.5,0.59,0.82,10,2023,Redfish
FADM,"Halibut, Atlantic | 50-85",,123,7.05,8.01,8.95,10,2023,Halibut
HWSL,"Hake, white | large",,22125,1.32,1.5,1.89,10,2023,Hake
PADL,"Pollock, Atl | large",,17510,2.21,2.74,3.67,10,2023,Pollock
HWSJ,"Hake, white | sow",,4092,1.54,1.84,2.52,10,2023,Hake
PADS,"Pollock, Atl | small",,2302,1.32,1.78,2.09,10,2023,Pollock
FADL,"Halibut, Atlantic | 85-125",,325,6.5,7.55,8.56,10,2023,Halibut
HWSM,"Hake, white | medium",,3848,1.01,1.33,1.68,10,2023,Hake
CADS,Cod | scrod,,40,1.03,1.15,1.65,10,2023,Cod
FADS,"Halibut, Atlantic | 10-50",,373,8.0,9.27,10.21,10,2023,Halibut
FYWS,Yellowtail | small,,1,0.8,0.8,0.8,10,2023,Yellowtail
